# energy dos(up) dos(down)
-1.366425809999999963e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.365635810000000028e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.364845809999999915e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.364045810000000003e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.363255810000000068e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.362465809999999955e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.361665809999999865e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.360875809999999930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.360085809999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.359285810000000083e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.358495809999999970e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.357705810000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.356905809999999946e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.356115810000000010e+01 2.000000000000000042e-03 -2.000000000000000042e-03
-1.355325810000000075e+01 9.400000000000000369e-03 -9.400000000000000369e-03
-1.354525809999999986e+01 2.189999999999999933e-02 -2.189999999999999933e-02
-1.353735809999999873e+01 3.980000000000000204e-02 -3.980000000000000204e-02
-1.352945809999999938e+01 5.729999999999999677e-02 -5.729999999999999677e-02
-1.352145810000000026e+01 6.940000000000000335e-02 -6.940000000000000335e-02
-1.351355810000000091e+01 7.630000000000000671e-02 -7.630000000000000671e-02
-1.350565809999999978e+01 7.810000000000000275e-02 -7.810000000000000275e-02
-1.349765809999999888e+01 7.929999999999999549e-02 -7.929999999999999549e-02
-1.348975809999999953e+01 8.240000000000000102e-02 -8.240000000000000102e-02
-1.348185810000000018e+01 8.719999999999999973e-02 -8.719999999999999973e-02
-1.347385810000000106e+01 9.370000000000000551e-02 -9.370000000000000551e-02
-1.346595809999999993e+01 1.006999999999999978e-01 -1.006999999999999978e-01
-1.345805809999999880e+01 1.078999999999999959e-01 -1.078999999999999959e-01
-1.345005809999999968e+01 1.152999999999999997e-01 -1.152999999999999997e-01
-1.344215810000000033e+01 1.226000000000000006e-01 -1.226000000000000006e-01
-1.343425810000000098e+01 1.282000000000000084e-01 -1.282000000000000084e-01
-1.342625810000000008e+01 1.318000000000000005e-01 -1.318000000000000005e-01
-1.341835809999999896e+01 1.335000000000000075e-01 -1.335000000000000075e-01
-1.341045809999999960e+01 1.340999999999999970e-01 -1.340999999999999970e-01
-1.340245810000000048e+01 1.353999999999999926e-01 -1.353999999999999926e-01
-1.339455810000000113e+01 1.376999999999999891e-01 -1.376999999999999891e-01
-1.338665810000000000e+01 1.408999999999999975e-01 -1.408999999999999975e-01
-1.337865809999999911e+01 1.446000000000000063e-01 -1.446000000000000063e-01
-1.337075809999999976e+01 1.481999999999999984e-01 -1.481999999999999984e-01
-1.336285810000000041e+01 1.517999999999999905e-01 -1.517999999999999905e-01
-1.335485810000000129e+01 1.554000000000000103e-01 -1.554000000000000103e-01
-1.334695810000000016e+01 1.589000000000000135e-01 -1.589000000000000135e-01
-1.333905809999999903e+01 1.623999999999999888e-01 -1.623999999999999888e-01
-1.333105809999999991e+01 1.658999999999999919e-01 -1.658999999999999919e-01
-1.332315810000000056e+01 1.693000000000000060e-01 -1.693000000000000060e-01
-1.331525810000000121e+01 1.728999999999999981e-01 -1.728999999999999981e-01
-1.330725810000000031e+01 1.768000000000000127e-01 -1.768000000000000127e-01
-1.329935809999999918e+01 1.809000000000000052e-01 -1.809000000000000052e-01
-1.329145809999999983e+01 1.850999999999999868e-01 -1.850999999999999868e-01
-1.328345810000000071e+01 1.885999999999999899e-01 -1.885999999999999899e-01
-1.327555809999999958e+01 1.912999999999999978e-01 -1.912999999999999978e-01
-1.326765810000000023e+01 1.930999999999999939e-01 -1.930999999999999939e-01
-1.325965809999999934e+01 1.943999999999999895e-01 -1.943999999999999895e-01
-1.325175809999999998e+01 1.958999999999999908e-01 -1.958999999999999908e-01
-1.324385810000000063e+01 1.978000000000000036e-01 -1.978000000000000036e-01
-1.323595810000000128e+01 2.001000000000000001e-01 -2.001000000000000001e-01
-1.322795810000000039e+01 2.025000000000000133e-01 -2.025000000000000133e-01
-1.322005809999999926e+01 2.048999999999999988e-01 -2.048999999999999988e-01
-1.321215809999999991e+01 2.073000000000000120e-01 -2.073000000000000120e-01
-1.320415810000000079e+01 2.096000000000000085e-01 -2.096000000000000085e-01
-1.319625809999999966e+01 2.119000000000000050e-01 -2.119000000000000050e-01
-1.318835810000000031e+01 2.141000000000000125e-01 -2.141000000000000125e-01
-1.318035809999999941e+01 2.162000000000000033e-01 -2.162000000000000033e-01
-1.317245810000000006e+01 2.182999999999999940e-01 -2.182999999999999940e-01
-1.316455810000000071e+01 2.205999999999999905e-01 -2.205999999999999905e-01
-1.315655809999999981e+01 2.230999999999999928e-01 -2.230999999999999928e-01
-1.314865809999999868e+01 2.257000000000000117e-01 -2.257000000000000117e-01
-1.314075809999999933e+01 2.285999999999999976e-01 -2.285999999999999976e-01
-1.313275810000000021e+01 2.313999999999999946e-01 -2.313999999999999946e-01
-1.312485810000000086e+01 2.341999999999999915e-01 -2.341999999999999915e-01
-1.311695809999999973e+01 2.371000000000000052e-01 -2.371000000000000052e-01
-1.310895809999999884e+01 2.399999999999999911e-01 -2.399999999999999911e-01
-1.310105809999999948e+01 2.429999999999999938e-01 -2.429999999999999938e-01
-1.309315810000000013e+01 2.459000000000000075e-01 -2.459000000000000075e-01
-1.308515810000000101e+01 2.489000000000000101e-01 -2.489000000000000101e-01
-1.307725809999999989e+01 2.516999999999999793e-01 -2.516999999999999793e-01
-1.306935809999999876e+01 2.539000000000000146e-01 -2.539000000000000146e-01
-1.306135809999999964e+01 2.556999999999999829e-01 -2.556999999999999829e-01
